registro_id,uf,sindicato,categoria,ano,campo,valor_atual,status_atual,origem,fonte,fonte_textual,data_extracao,observacao,opcoes_identificadas,prioridade_revisao,acao_sugerida,decisao_sugerida,decisao_final,valor_revisado,observacao_revisor,revisor,data_revisao
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,piso_salarial,1540.47,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA TERCEIRA - PISO SALARIAL As empresas abrangidas pela Convenção Coletiva não poderão utilizar salário inferior ao piso mínimo estabelecido nesta Cláusula, que é de R$ 1.540,47 (um mil, quinhentos e quarenta reais e quarenta e sete centavos), compreendendo a mão de obra discriminada no Anexo I, parte integrante desta referida norma trabalhista. Parágrafo Único – Os salários não poderão ser reduzidos independentemente da carga horária fixada em conformidade ao Anexo I desta Convenção. Reajustes/Correções Salariais",2026-06-15,,,média,validar,validar,validar,1540.47,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,adicional_noturno,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,"Cláusula localizada, mas valor/percentual não pôde ser identificado automaticamente",,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,auxilio_alimentacao,330.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA - AUXÍLIO ALIMENTAÇÃO Todo trabalhador terá direito ao Auxilio Alimentação fornecido pelas empresas, no valor mínimo mensal de R$ 330,00 (trezentos e trinta reais), valores retroativos ao mês de janeiro de 2025, independentemente de escala, horário de trabalho ou função, através do cartão alimentação, sendo descontados os dias não trabalhados em decorrências de (faltas, licenças médicas, férias, afastamento previdenciário, licenças paternidade/maternidade), descontos esses de forma proporcional, observando sempre a divisão por 30 (trinta) dias ao mês. Parágrafo Primeiro - As em…",2026-06-15,,,média,validar,validar,validar,330.0,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de PLR não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,hora_extra,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de hora extra não localizada no PDF,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de sobreaviso não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AC-SEAC-2025,AC,SEAC AC,Serviços Contábeis,2025,jornada,44.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA VIGÉSIMA SEGUNDA - JORNADA DE TRABALHO A jornada de trabalho será de no máximo 44 (quarenta e quatro) horas semanais, podendo ter acréscimo de 02 (duas) horas extras diárias ou até 04 (quatro) horas, caso ocorram necessidades imperiosas, por motivo de força maior, para atender a realização de conclusão de serviços inadiáveis ou cuja inexecução possa acarretar prejuízo manifesto, desde que devidamente justificadas. Parágrafo Primeiro – Além da jornada de trabalho prevista no caput da cláusula, poderão ser utilizadas pelas empresas as seguintes modalidades de jornada de trabalho: a) Hor…",2026-06-15,"Múltiplas jornadas identificadas: 44.0, 30.0, 26.0h/sem; Horas diárias não calculadas: regime 12×36 não permite cálculo direto","[""44h/semana"", ""30h/semana"", ""26h/semana""]",média,validar,validar,validar,44.0,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,piso_salarial,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,"Cláusula localizada, mas valor/percentual não pôde ser identificado automaticamente",,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,adicional_noturno,,conflito,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA PRIMEIRA - HORA NOTURNA O trabalho noturno será remunerado com acréscimo de 20% (vinte por cento), entendendo-se como tal o trabalho realizado das 22:00 horas de um dia até as 5:00 horas do dia seguinte, computando-se, para tanto, a hora de trabalho a cada 52:30 minutos, nos termos do artigo 73 da CLT. Parágrafo Único: No caso de não haver redução de jornada, o empregado receberá as horas trabalhadas em horas noturnas com o adicional de 37,14% (trinta e sete vírgula quatorze por cento), já inserida neste adicional a remuneração extraordinária decorrente da não redução da jornad…",2026-06-15,"Múltiplos valores identificados: 37.14, 20.0",,alta,revisar_conflito,marcar_conflito,marcar_conflito,,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,auxilio_alimentacao,10.5,conflito,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA TERCEIRA - AUXÍLIO LANCHE / VALE REFEIÇÃO / CESTA BÁSICA VIGÊNCIA DA CLÁUSULA: 01/01/2023 a 31/12/2023 AS EMPRESAS fornecerão aos TRABALHADORES que estiverem no exercício de suas atividades regulares, a partir de 01/05/2023 e para os dias efetivamente trabalhados, vale-refeição ou alimentação por mês, nos seguintes valores faciais, conforme abaixo: Parágrafo Primeiro: O valor facial do vale refeição dos TRABALHADORES contratados com jornada de 200/220 horas mensais fica estabelecido em R$10,50 (dez reais e cinquenta centavos) a partir de 01/05/2023, por dia efetivamente trabalh…",2026-06-15,"Múltiplos valores identificados: 10.5, 5.33",,alta,revisar_conflito,marcar_conflito,marcar_conflito,10.5,,,
